time_ps,mindist_nm
51820.0,0.221513
51830.0,0.1855397
51840.0,0.175573
51850.0,0.1885653
51860.0,0.1965103
51870.0,0.1934549
51880.0,0.1784547
51890.0,0.1881864
51900.0,0.1764713
51910.0,0.1925279
51920.0,0.2562365
51930.0,0.1784518
51940.0,0.1911574
51950.0,0.1927301
51960.0,0.2035782
51970.0,0.2010494
51980.0,0.1933783
51990.0,0.2470081
52000.0,0.2209003
52010.0,0.2036394
52020.0,0.2115865
52030.0,0.2206285
52040.0,0.2073788
52050.0,0.1887376
52060.0,0.2607031
52070.0,0.1848077
52080.0,0.2029066
52090.0,0.1934765
52100.0,0.1944554
52110.0,0.2489457
52120.0,0.2098311
52130.0,0.1904337
52140.0,0.1768783
52150.0,0.2026943
52160.0,0.1804053
52170.0,0.1817112
52180.0,0.1916377
52190.0,0.1832183
52200.0,0.1736723
52210.0,0.1791898
52220.0,0.1910815
52230.0,0.1864967
52240.0,0.1918049
52250.0,0.1864106
52260.0,0.2029112
52270.0,0.2001825
52280.0,0.1900655
52290.0,0.1917652
52300.0,0.194818
52310.0,0.1996723
52320.0,0.1710521
52330.0,0.1898922
52340.0,0.1850267
52350.0,0.1938506
52360.0,0.1973069
52370.0,0.1937374
52380.0,0.1996871
52390.0,0.1876303
52400.0,0.2216189
52410.0,0.1969189
52420.0,0.1852942
52430.0,0.2573208
52440.0,0.1860537
52450.0,0.2054775
52460.0,0.1889472
52470.0,0.1906015
52480.0,0.1967132
52490.0,0.203118
52500.0,0.2088683
52510.0,0.1902683
52520.0,0.1824882
52530.0,0.1841086
52540.0,0.1948818
52550.0,0.1925278
52560.0,0.1759691
52570.0,0.2050609
52580.0,0.2351891
52590.0,0.2769207
52600.0,0.240595
52610.0,0.2714779
52620.0,0.237643
52630.0,0.2425637
52640.0,0.2524242
52650.0,0.2733553
52660.0,0.2429012
52670.0,0.2369327
52680.0,0.2650677
52690.0,0.2567687
52700.0,0.2610399
52710.0,0.2589687
52720.0,0.2504513
52730.0,0.2712136
52740.0,0.2269854
52750.0,0.2596495
52760.0,0.2455223
52770.0,0.2384827
52780.0,0.2461643
52790.0,0.2408172
52800.0,0.2258272
52810.0,0.2628953
52820.0,0.2506216
52830.0,0.2580445
52840.0,0.2384178
52850.0,0.2423821
52860.0,0.2783903
52870.0,0.2642992
